Flintshire,2020-05-20,7,476,304.90000000000003,71,2504
Monmouthshire,2020-06-27,0,372,393.3,22,3743
Gwynedd,2020-03-06,0,0,0.0,0,20
Gwynedd,2020-06-01,7,454,364.5,217,3882
Outside Wales,2020-03-30,5,21,,14,109
Flintshire,2020-05-19,9,469,300.40000000000003,151,2433
Gwynedd,2020-03-05,0,0,0.0,2,20
Blaenau Gwent,2020-06-14,1,348,498.1,43,2607
Cardiff,2020-07-06,2,2289,623.9000000000001,274,19612
Merthyr Tydfil,2020-04-14,6,144,238.70000000000002,13,398
Monmouthshire,2020-10-20,18,649,686.1,178,15223
Isle of Anglesey,2020-06-15,14,331,472.6,75,3286
Cardiff,2020-10-23,195,6706,1827.7,943,80739
Blaenau Gwent,2020-06-13,0,347,496.70000000000005,133,2564
Flintshire,2020-09-12,4,843,540.0,168,19771
Gwynedd,2020-05-31,1,447,358.90000000000003,46,3665
Cardiff,2020-07-05,2,2287,623.3000000000001,142,19338
Blaenau Gwent,2020-09-18,11,455,651.3000000000001,142,10687
Blaenau Gwent,2020-06-12,1,347,496.70000000000005,64,2431
Isle of Anglesey,2020-06-14,8,317,452.6,70,3211
Merthyr Tydfil,2020-04-13,2,138,228.8,7,385
Flintshire,2020-09-11,10,839,537.5,290,19603
Gwynedd,2020-05-30,9,446,358.1,160,3619
Monmouthshire,2020-10-19,16,631,667.1,228,15045
Cardiff,2020-07-04,1,2285,622.8000000000001,190,19196
Flintshire,2020-02-26,0,0,0.0,1,5
Blaenau Gwent,2020-09-17,11,444,635.5,160,10545
Blaenau Gwent,2020-06-11,0,346,495.3,22,2367
Isle of Anglesey,2020-06-13,10,309,441.20000000000005,64,3141
Merthyr Tydfil,2020-04-12,7,136,225.4,14,378
Flintshire,2020-05-18,8,460,294.7,73,2282
Flintshire,2020-09-10,6,829,531.1,317,19313
Monmouthshire,2020-10-18,8,615,650.2,68,14817
Cardiff,2020-07-03,2,2284,622.5,328,19006
Gwynedd,2020-05-29,6,437,350.8,202,3459
Flintshire,2020-02-25,0,0,0.0,0,4
Merthyr Tydfil,2020-10-19,45,1401,2322.4,224,16829
Merthyr Tydfil,2020-04-11,4,129,213.8,9,364
Blaenau Gwent,2020-06-10,0,346,495.3,36,2345
Flintshire,2020-05-17,8,452,289.6,113,2209
Isle of Anglesey,2020-06-12,19,299,426.90000000000003,121,3077
Flintshire,2020-09-09,9,823,527.2,279,18996
Neath Port Talbot,2020-09-02,4,695,484.90000000000003,271,15240
Gwynedd,2020-05-28,13,431,346.0,215,3257
Cardiff,2020-07-02,2,2282,622.0,363,18678
Flintshire,2020-02-24,0,0,0.0,0,4
Merthyr Tydfil,2020-10-18,17,1356,2247.8,101,16605
